content,href,title
,http://xiaohua.zol.com.cn/detail60/59364.html,把你冻僵滴是小冷段儿
,http://xiaohua.zol.com.cn/detail60/59341.html,"爆冷,冻僵你滴笑脸"
,http://xiaohua.zol.com.cn/detail60/59325.html,"天儿冷,笑话也冷呢!"
,http://xiaohua.zol.com.cn/detail60/59246.html,二货的尬事笑翻天
,http://xiaohua.zol.com.cn/detail60/59225.html,"爆逗冷段,别笑坏了!"
,http://xiaohua.zol.com.cn/detail60/59142.html,"尬了半天,不知如何是好"
,http://xiaohua.zol.com.cn/detail60/59135.html,"没点儿冷段,热天可怎么过!"
,http://xiaohua.zol.com.cn/detail60/59125.html,"高冷笑段,适合夏天欣赏"
,http://xiaohua.zol.com.cn/detail60/59122.html,"唉,无语了老半天呢!"
,http://xiaohua.zol.com.cn/detail60/59073.html,"冷段一组,凉意浓"
,http://xiaohua.zol.com.cn/detail60/59414.html,史上最强笑话十则
,http://xiaohua.zol.com.cn/detail60/59405.html,幽默有趣的逗B笑段
,http://xiaohua.zol.com.cn/detail60/59403.html,太安逸了?就用幽默小段扎扎心
,http://xiaohua.zol.com.cn/detail60/59398.html,幽默有趣的逗B笑段
,http://xiaohua.zol.com.cn/detail60/59375.html,有趣又有笑的幽默逗段
,http://xiaohua.zol.com.cn/detail60/59374.html,"段子荟萃,幽默开会"
,http://xiaohua.zol.com.cn/detail60/59365.html,有幽默有讽刺的实在话
,http://xiaohua.zol.com.cn/detail60/59342.html,"是幽默的深刻,还是深刻的幽默?"
,http://xiaohua.zol.com.cn/detail60/59317.html,"幽默妙侃,有很多笑段等着你"
,http://xiaohua.zol.com.cn/detail60/59285.html,“打”
,http://xiaohua.zol.com.cn/detail59/58558.html,女票质疑男友的爱
,http://xiaohua.zol.com.cn/detail59/58348.html,"闲侃男女,幽默段子可不少"
,http://xiaohua.zol.com.cn/detail59/58004.html,爆冷的恋爱男女、青蛙王子
,http://xiaohua.zol.com.cn/detail54/53154.html,特逗B的恋爱男女
,http://xiaohua.zol.com.cn/detail52/51408.html,"真会耍,耍的小两口不和谐了"
,http://xiaohua.zol.com.cn/detail52/51319.html,"老婆,你惹不起又躲不掉的人"
,http://xiaohua.zol.com.cn/detail52/51317.html,饱受老婆摧残的苦B老公
,http://xiaohua.zol.com.cn/detail52/51111.html,"有女,有男,有笑点.你会醉的"
,http://xiaohua.zol.com.cn/detail51/50240.html,一组幽默短信
,http://xiaohua.zol.com.cn/detail51/50233.html,这些短信老搞笑了.
,http://xiaohua.zol.com.cn/detail60/59376.html,"男女笑段,笑坏男女"
,http://xiaohua.zol.com.cn/detail60/59367.html,"戏谑男女,难道说的就是你?"
,http://xiaohua.zol.com.cn/detail60/59340.html,"戏谑男女,难道说的就是你?"
,http://xiaohua.zol.com.cn/detail60/59173.html,"爆汗,有老婆压力更大呀!"
,http://xiaohua.zol.com.cn/detail60/59166.html,"逗段侃男女,侃的心花怒放的"
,http://xiaohua.zol.com.cn/detail60/59152.html,"爆二男女,都是逗B货"
,http://xiaohua.zol.com.cn/detail60/59134.html,笑晕你的是父母
,http://xiaohua.zol.com.cn/detail60/59113.html,"男女搭配,笑果加倍"
,http://xiaohua.zol.com.cn/detail60/59081.html,"爆逗爸妈,能把人笑弯了腰"
,http://xiaohua.zol.com.cn/detail60/59063.html,"爆囧,说实话会很尴尬的!"
,http://xiaohua.zol.com.cn/detail60/59426.html,经典的搞笑段子，真是笑死人不偿命
,http://xiaohua.zol.com.cn/detail60/59425.html,爆笑笑话段子100个 笑死人不偿命
,http://xiaohua.zol.com.cn/detail60/59419.html,万荣笑话大全，超级好笑！
,http://xiaohua.zol.com.cn/detail60/59418.html,万荣笑话大全
,http://xiaohua.zol.com.cn/detail60/59406.html,"爆逗,笑醉是种什么感受?"
,http://xiaohua.zol.com.cn/detail60/59399.html,"爆逗,笑醉是种什么感受?"
,http://xiaohua.zol.com.cn/detail60/59389.html,社会生活中爆笑尬事不少呢!
,http://xiaohua.zol.com.cn/detail60/59388.html,"家里没点笑声,那得多无聊呀!"
,http://xiaohua.zol.com.cn/detail60/59377.html,"爆囧,脑壳有点昏。。。"
,http://xiaohua.zol.com.cn/detail60/59357.html,新的一年从爆笑开始!
,http://xiaohua.zol.com.cn/detail60/59154.html,"校园笑段,都不怎么喜欢学习"
